ensayo,trt,rep,verdor,MA_inc,RE_inc,RH_inc,MA_sev,RE_sev,RH_sev,trat,MA_int,RE_int,RH_int
UPA,5,2,91.66666666666666,85,NA,25,5,NA,1.5,orq_Z39,4.25,NA,0.375
UPA,6,2,95.83333333333333,65,NA,5,1.5,NA,0.5,rub_Z32_orq_Z39,0.9750000000000001,NA,0.025
UPA,7,2,100,100,NA,0,1,NA,0,rub_Z32_carbFMC_Z39,1,NA,0
UPA,1,3,41.66666666666667,100,NA,100,12,NA,20,test,12,NA,20
UPA,2,3,75,100,NA,60,5,NA,3,rub_Z32,5,NA,1.7999999999999998
UPA,3,3,58.333333333333336,100,NA,0,10,NA,0,rub_Z39,10,NA,0
UPA,4,3,83.33333333333334,100,NA,60,7,NA,8,orq_Z32,7,NA,4.8
UPA,5,3,91.66666666666666,100,NA,30,8,NA,2,orq_Z39,8,NA,0.6
UPA,6,3,91.66666666666666,80,NA,0,1,NA,0,rub_Z32_orq_Z39,0.8,NA,0
UPA,7,3,100,100,NA,0,1,NA,0,rub_Z32_carbFMC_Z39,1,NA,0
EEA,1,1,40,20,NA,30,7,NA,10,test,1.4000000000000001,NA,3
EEA,1,2,30,10,NA,25,8,NA,10,test,0.8,NA,2.5
EEA,1,3,85,1,NA,3,1,NA,2,test,0.01,NA,0.06
EEA,6,1,70,5,NA,0,2,NA,0,rub_Z32_orq_Z39,0.1,NA,0
EEA,6,2,95,0,NA,0,0,NA,0,rub_Z32_orq_Z39,0,NA,0
EEA,6,3,95,0,NA,0,0,NA,0,rub_Z32_orq_Z39,0,NA,0
EEA,2,1,60,7,NA,10,3,NA,3,rub_Z32,0.21000000000000002,NA,0.30000000000000004
EEA,2,2,75,5,NA,3,3,NA,1,rub_Z32,0.15000000000000002,NA,0.03
EEA,2,3,80,5,NA,10,1,NA,2,rub_Z32,0.05,NA,0.2
EEA,3,1,55,5,NA,0,3,NA,0,rub_Z39,0.15000000000000002,NA,0
EEA,3,2,95,0,NA,0,0,NA,0,rub_Z39,0,NA,0
EEA,3,3,75,3,NA,0,1,NA,0,rub_Z39,0.03,NA,0
EEA,4,1,60,3,NA,5,2,NA,4,orq_Z32,0.06,NA,0.2
EEA,4,2,80,1,NA,1,1,NA,3,orq_Z32,0.01,NA,0.03
EEA,4,3,55,5,NA,15,5,NA,5,orq_Z32,0.25,NA,0.75
EEA,5,1,70,1,NA,0,2,NA,0,orq_Z39,0.02,NA,0
EEA,5,2,90,0,NA,0,0,NA,0,orq_Z39,0,NA,0
EEA,5,3,60,3,NA,1,3,NA,1,orq_Z39,0.09,NA,0.01
EEA,7,1,80,1,NA,0,1,NA,0,rub_Z32_carbFMC_Z39,0.01,NA,0
EEA,7,2,85,1,NA,0,1,NA,0,rub_Z32_carbFMC_Z39,0.01,NA,0
EEA,7,3,75,5,NA,0,2,NA,0,rub_Z32_carbFMC_Z39,0.1,NA,0
